System_Name,Seq,Table_Name,Table_Desc
AGR,,"AGR,_ITEM",同意函項目基本資料檔
AGR,3,AGR_APPLICANT,同意函申請人資料檔
AGR,5,AGR_BASE,同意函基本申請資料檔
AGR,6,AGR_FACTORY,同意函製造廠資料檔
BABE,,BABE_BASE,BABE基本資料檔
BABE,,BABE_FACTORY,BABE產品資料製造廠資料檔
BABE,,BABE_INGREDIENTS,BABE產品資料成分資料檔
BABE,,BABE_PRESCRIPTION,BABE產品資料處方資料檔
CCC,1,CCC_COMPARE_BASE,單證比對比對結果主檔
CCC,2,CCC_COMPARE_DETAIL,單證比對比對結果項次檔
CCC,3,CCC_COMPARE_ITEM,自動比對項目設定檔
CCC,6,CCC_DECL_LOG,單證比對報單狀態檔
COM,3,COM_APPLICANT,TEST
COM,1,COM_APPLICANT,化粧品產品屬性申請商檔
COM,2,COM_BASE,化粧品產品屬性主檔
COM,3,COM_ITEM,化粧品產品屬性項次檔
COM,4,COM_MOD_ITEM,化粧品產品屬性更正紀錄檔
LIC,3,LIC_FACTORY,許可證製造業者檔
LIC,5,LIC_FACTORY,TEST
LIC,,LIC_FACTORY,TEST
